season,teams,superflex,mc_points,greedy_points,adp_points
2022,12,1,1891.0280000000002,1898.7259999999999,1851.8759999999997
2022,12,1,1849.436,1801.52,1717.4779999999998
2022,12,1,1900.444,1865.7620000000002,1675.166
2022,12,1,1900.4379999999999,1826.6219999999998,1846.3100000000002
2022,12,1,1877.29,1910.7259999999999,1831.9399999999998
2022,12,1,1919.2939999999999,1896.94,1776.604
2022,12,1,1933.072,1915.4299999999998,1729.032
2022,12,1,1887.1440000000002,1821.774,1728.6719999999998
2022,12,1,1927.104,1854.8439999999998,1808.368
2022,12,1,1885.312,1845.944,1601.668
2022,12,1,1877.2659999999998,1845.0819999999999,1817.1639999999998
2022,12,1,1869.964,1795.092,1778.5099999999998
2022,12,1,1872.1239999999998,1806.116,1587.626
2022,12,1,1930.7920000000001,1894.5759999999998,1784.5739999999998
2022,12,1,1865.2079999999999,1845.6200000000001,1492.69
2022,12,1,1901.9959999999999,1922.7399999999998,1793.8179999999995
2022,12,1,1891.818,1782.69,1614.594
2022,12,1,1894.4420000000002,1877.416,1753.216
2022,12,1,1890.42,1893.768,1833.316
2022,12,1,1864.9800000000002,1850.4099999999999,1807.7779999999998
2022,12,1,1914.518,1860.3239999999998,1756.024
2022,12,1,1911.9959999999996,1889.5300000000002,1766.7879999999998
2022,12,1,1902.4899999999998,1870.864,1839.5439999999999
2022,12,1,1898.85,1776.904,1836.3739999999998
2022,12,1,1899.2960000000003,1807.33,1820.4299999999998
2022,12,1,1815.326,1910.312,1791.404
2022,12,1,1909.39,1858.694,1793.97
2022,12,1,1933.8339999999998,1917.614,1808.348
2022,12,1,1891.0119999999997,1925.9520000000002,1758.88
2022,14,0,1569.8960000000002,1527.33,1481.2259999999999
2022,14,0,1606.146,1540.2300000000005,1483.114
2022,14,0,1611.398,1549.8000000000002,1552.6879999999996
2022,14,0,1543.4379999999999,1523.028,1561.2459999999999
2022,14,0,1593.464,1512.4,1454.288
2022,14,0,1598.1179999999997,1562.6280000000002,1394.13
2022,14,0,1580.198,1564.016,1396.066
2022,14,0,1573.108,1511.71,1538.696
2022,14,0,1594.1680000000001,1573.4900000000002,1359.306
2022,14,0,1588.078,1511.3000000000002,1384.1599999999999
2022,14,0,1520.4479999999999,1571.3799999999999,1564.438
2022,14,0,1527.778,1568.7099999999998,1354.298
2022,14,0,1558.736,1575.5180000000005,1519.0900000000001
2022,14,0,1648.9959999999999,1584.8700000000003,1444.61
2022,14,0,1609.198,1559.288,1481.548
2022,14,0,1594.8960000000002,1515.9100000000003,1365.628
2022,14,0,1554.578,1520.3399999999997,1443.7579999999998
2022,14,0,1541.436,1568.978,1482.866
2022,14,0,1613.6260000000002,1590.3380000000002,1439.816
2022,14,0,1550.1360000000002,1576.68,1425.77
